key,name,url,desc,category,ages,subjects,isGov,sortOrder,enabled
EBS,EBS,https://www.ebs.co.kr/,전 국민의 평생학교 EBS,learning,"elem,mid,high","korean,math,science,social",True,1.0,True
EBSmidpremium,EBS 중학프리미엄,https://mid.ebs.co.kr/,중학생 대상 전 과목 온라인 강의,learning,mid,"korean,math,science,social",True,2.0,True
EBSi,EBSi,https://www.ebsi.co.kr/,EBS 고등 온라인 강의,learning,high,"korean,math,english,science",True,3.0,True
KOCW,KOCW,http://www.kocw.net/,국내 대학 공개강의 서비스,learning,"high,adult",general,True,4.0,True
KMOOC,K-MOOC,https://www.kmooc.kr/,한국형 온라인 공개강좌,learning,"high,adult",general,True,5.0,True
KhanAcademy,Khan Academy,https://ko.khanacademy.org/,무료 온라인 교육 플랫폼,learning,"elem,mid,high","korean,math,science,history",False,6.0,True
메가스터디,메가스터디,https://www.megastudy.net/,중고등 학생 대상 강의,learning,"mid,high","korean,math,english,science",False,7.0,True
야나두,야나두,http://yanadoo.co.kr/,영어 학습,learning,"mid,high,adult","english,language",False,8.0,True
Coursera,Coursera,https://www.coursera.org/,전 세계 대학 및 기업의 온라인 강좌,learning,"high,adult","general,language",False,9.0,True
edX,edX,https://www.edx.org/,무료 및 유료 대학 온라인 강의 제공,learning,"high,adult",general,False,10.0,True
MIT OpenCourseWare,MIT OpenCourseWare,https://ocw.mit.edu/,MIT 공개 강의 자료,learning,"high,adult","science,tech",False,11.0,True
Skillshare,Skillshare,https://www.skillshare.com/,"디자인, 코딩, 영상 등 실무 학습",learning,"high,adult","art,tech",False,12.0,True
스터디채널,스터디채널,http://studych.co.kr/,수능 및 내신 강의 플랫폼,learning,"mid,high","korean,math,english",False,13.0,True
에듀윌,에듀윌,https://www.eduwill.net/,자격증·공무원 시험 대비 강의,learning,"high,adult","exam,career",False,14.0,True
클래스101,클래스101,https://class101.net/,취미 및 실무 온라인 클래스,learning,"mid,high,adult","art,tech,general",False,15.0,True
탈잉,탈잉,https://taling.me/,1:1 맞춤형 온라인 클래스,learning,"mid,high,adult","general,art,tech",False,16.0,True
Udemy,Udemy,https://www.udemy.com/,다양한 주제의 온라인 강의,learning,"high,adult","general,tech,art",False,17.0,True
RISS,RISS,http://www.riss.kr/,학술 자료 및 논문 검색,info,"high,adult",general,True,18.0,True
공공데이터포털,공공데이터포털,https://www.data.go.kr/,정부 및 공공기관 데이터 제공,info,"high,adult","social,tech",True,19.0,True
